homeid,residents,income_band,hometype,occupancy,occupied_days,location,build_era,urban_rural_class,workingstatus,daily_standing_charge_pence,unit_charge_pence_per_kwh,app_bath,app_dehumidifier,app_dishwasher,app_electricheater,app_electrichob,app_electricoven,app_electricshower,app_freezer,app_fridge,app_fridgefreezer,app_gasfire,app_gashob,app_gasoven,app_grill,app_kettle,app_microwave,app_other,app_shower,app_sink,app_toaster,app_tumbledrier,app_vacuumcleaner,app_washingmachine,app_washingmachinetumbledrier,app_woodburningstove,major_app_total,other_air_conditioning,other_computer,other_dehumidifier,other_electric_blanket,other_electric_fan,other_electric_heater,other_humidifier,other_iron,other_laptop,other_media_entertainment,other_motor_vehicle,other_non_smart_phone,other_other_high_power_1,other_other_high_power_2,other_other_high_power_3,other_other_high_power_4,other_outdoor_electric_space_heater,other_outdoor_gas_space_heater,other_outdoor_hot_tub,other_outdoor_light,other_outdoor_water_feature,other_smartphone,other_sound_system,other_tablet,other_television,other_vacuum_cleaner,other_app_total
136,1,"£43,200 to £48,599",flat,single,7,Edinburgh,1850-1899,1,Self-employed,17.0,12.43,1,1,1,0,0,0,0,1,2,0,0,4,0,0,1,1,0,1,2,1,0,1,1,0,0,18,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,21.0
139,3,"£37,800 to £43,199",flat,multiple,5,Edinburgh,1850-1899,1,Paid work,26.0,13.98,1,0,1,0,0,0,1,0,0,1,0,4,3,1,1,0,0,0,2,1,0,1,1,0,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,11.0
140,3,"£54,000 to £65,999",flat,multiple,6,Edinburgh,Before 1850,1,Paid work,,,1,0,1,1,4,3,0,0,0,1,0,0,0,1,1,0,0,1,2,1,0,2,1,0,0,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,17.0
145,2,"£43,200 to £48,599",flat,multiple,2,Edinburgh,1850-1899,1,Paid work,25.0,12.26,1,0,1,0,0,0,1,0,0,1,0,5,1,1,1,0,0,0,2,0,0,1,1,0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,1.0,13.0
146,4,"£43,200 to £48,599",house_or_bungalow,multiple,7,Midlothian,1931-1944,1,Unemployed (not seeking work),42.0,10.35,2,0,1,0,0,3,1,1,2,0,0,5,0,1,1,1,1,1,3,1,0,2,0,1,0,27,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,2.0,1.0,20.0
162,2,"£54,000 to £65,999",flat,multiple,3,Edinburgh,2002 or later,1,Paid work,13.0,9.87,1,0,0,0,0,2,1,0,0,1,0,4,0,0,1,2,0,0,2,1,0,1,0,1,0,17,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,1.0,20.0
168,4,"£66,000 to £77,999",house_or_bungalow,multiple,3,WestLothian,1945-1964,2,Paid work,14.0,14.19,1,0,1,0,0,2,0,0,0,3,0,0,0,1,2,1,0,2,3,2,1,2,0,1,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,4.0,0.0,19.0
169,1,"£48,600 to £53,999",house_or_bungalow,single,3,WestLothian,1965-1980,2,Paid work,27.0,14.92,1,0,1,1,4,2,0,0,0,1,0,0,0,1,1,1,2,1,2,1,0,2,0,1,0,22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,20.0
171,0,"£13,500 to £16,199",flat,missing,7,Edinburgh,1965-1980,1,Other,22.0,14.0,1,0,0,1,4,2,1,0,0,1,0,0,0,0,1,1,0,0,2,1,0,2,2,0,0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,11.0
175,2,"£43,200 to £48,599",house_or_bungalow,multiple,5,Midlothian,1965-1980,2,Paid work,19.0,12.29,1,2,1,0,4,1,1,0,0,1,1,0,0,1,1,1,0,1,3,1,0,2,1,0,0,23,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,3.0,19.0
