daily_archetype,archetype_name,pattern_note,n_days,n_homes,modal_homes,mean_daily_total_kwh,median_daily_total_kwh,mean_daytime_fraction,mean_peak_hour,weekend_share,autumn_share,spring_share,summer_share,winter_share,mean_residents,mean_major_app_total,mean_other_app_total,modal_hometype,modal_income_band
0,Morning peak,broad daytime-elevated profile,1680,39,8,8.366643538383807,7.324981826698416,0.6999590550245878,10.375,0.3952380952380952,0.1875,0.33035714285714285,0.21607142857142858,0.26607142857142857,1.875,17.125,14.5,flat,Missing
1,All-daytime plateau,broad plateau profile,1833,39,11,11.745622911440611,10.282028382914357,0.7445952114602976,14.274959083469723,0.4298963447899618,0.20076377523186034,0.28805237315875615,0.14839061647572285,0.3627932351336607,2.8181818181818183,21.181818181818183,16.90909090909091,flat,"£43,200 to £48,599"
2,Evening peak,broad evening-focused profile,2863,39,15,7.99580290855447,6.9031674302559525,0.6752141374614303,18.3520782396088,0.22808243101641634,0.1854697869367796,0.3328676213761788,0.18092909535452323,0.30073349633251834,1.8666666666666667,20.133333333333333,15.2,flat,"£23,400 to £26,999"
3,Late-afternoon peak,narrow-peak subtype,1638,39,3,8.917948413907068,8.017823984734404,0.7182173975307212,15.841269841269842,0.28876678876678874,0.21733821733821734,0.3498168498168498,0.20146520146520147,0.2313797313797314,2.6666666666666665,20.0,17.333333333333332,house_or_bungalow,"£48,600 to £53,999"
4,Early-morning peak,narrow-peak subtype,1237,39,2,8.051673294976665,7.77440104700756,0.5127389224091672,7.9288601455133385,0.11883589329021826,0.1948261924009701,0.31608730800323365,0.253839935327405,0.23524656426839127,1.0,18.5,11.5,flat,"£54,000 to £65,999"
