k,silhouette,inertia,min_cluster_size,max_cluster_size
2,0.1455186267048901,8094.266604315687,4139,5112
3,0.14781828825184437,7248.5527535975725,2361,3925
4,0.15756830821103332,6628.535624617242,1313,3049
5,0.16334120528351798,6113.10961763874,1232,2859
6,0.1667533914028599,5702.949550018104,1121,1987
7,0.18091091339603535,5324.186616118427,929,1928
8,0.18812928267791454,5067.147581722896,689,1900
9,0.18968945197448248,4853.878422693038,642,1481
10,0.19518494628677333,4624.123272236744,521,1530
