daily_archetype,archetype_name,pattern_note,norm_block_00,norm_block_02,norm_block_04,norm_block_06,norm_block_08,norm_block_10,norm_block_12,norm_block_14,norm_block_16,norm_block_18,norm_block_20,norm_block_22
0,Morning peak,broad daytime-elevated profile,0.1016869100830396,0.0475986764740472,0.0790290529537457,0.1531029036533545,0.5651331964116306,0.4428792118926317,0.2825361177018221,0.1797437520325083,0.1565879768363759,0.1988988516344944,0.2172141771995464,0.2045917328413059
1,All-daytime plateau,broad plateau profile,0.1129010047655371,0.0509144514655246,0.0635003435616214,0.2531966410810817,0.4010608218628319,0.5179183524433025,0.6111476027365155,0.5922575789430179,0.5889727924782356,0.6079821912353714,0.5505822752484696,0.296524714671779
2,Evening peak,broad evening-focused profile,0.0900409279301294,0.0500531714265035,0.0928326921817841,0.2266324669958685,0.1567442471538306,0.1066326556363768,0.0989018165311805,0.1177672843551272,0.2529153700537254,0.7968356224281407,0.6678846003308462,0.3207665499581222
3,Late-afternoon peak,narrow-peak subtype,0.0620841765549532,0.0395636424826735,0.1148929923746218,0.2335219621422403,0.197271492135414,0.1468301673525728,0.1518539818888974,0.2510951410154903,0.9420313949171552,0.5280736271931031,0.3623347976349391,0.1661040673111634
4,Early-morning peak,narrow-peak subtype,0.0643267750859834,0.0433939507142679,0.1324870191207349,0.943309367746918,0.2298710242141952,0.0929354960960383,0.0965778781766044,0.1086511676475222,0.2024094848770904,0.3207182674367885,0.3467204304769439,0.1956088337544828
