homeid,date,context,context_cluster,norm_block_00,norm_block_02,norm_block_04,norm_block_06,norm_block_08,norm_block_10,norm_block_12,norm_block_14,norm_block_16,norm_block_18,norm_block_20,norm_block_22
61,2016-12-01,Winter_Weekday,3,0.0068426533315237,0.0045979423500014,0.1846613921548338,1.0,0.3257691822234805,0.0016826368563821,0.0,0.0105971842763403,0.2914754949621965,0.9753949693489604,0.6248038655284549,0.3199529742980301
61,2016-12-02,Winter_Weekday,0,0.0072994834941758,0.0,0.0604830867247632,1.0,0.1101963053032883,0.0027673697504738,0.075242465216595,0.0340988733678893,0.2686068139832023,0.553392992261401,0.3585995680098094,0.3318422414109806
61,2016-12-05,Winter_Weekday,3,0.0025148924574398,0.0,0.0019762738806964,0.4080769719964897,0.1699407924847953,0.0020946938968746,0.0405246163808145,0.0002584372096324,0.5088989568468668,1.0,0.3269182550870328,0.0528051665097509
61,2016-12-06,Winter_Weekday,3,0.001941370065457,0.0036307834363943,0.2044762569470623,0.349143153166592,0.2927018400438938,0.0025959371891453,0.0,0.0033088542108646,0.6105044480678103,1.0,0.4061575741805139,0.2752541087741753
61,2016-12-07,Winter_Weekday,0,0.0288000223790042,0.0002653985246782,0.0,1.0,0.1720390186698419,0.0004991639375875,0.001126494202023,0.001711841714135,0.4340945242805418,0.7707581646967941,0.1835426135265538,0.194650638167672
61,2016-12-08,Winter_Weekday,3,0.0,0.0003057924122455,0.0050436701327491,0.7018619517835673,0.2818778149320585,0.004330862099887,0.0032739125090975,0.0022078766395287,0.1868863777463696,1.0,0.6263022979405571,0.2397560371042098
61,2016-12-09,Winter_Weekday,3,0.0076989169146708,0.0121941908905534,0.2752294470938809,1.0,0.0511638215878224,0.0125793068941576,0.0152437183636795,0.0,0.4046751208908976,0.7217490373265814,0.7088492698588267,0.2882089022075985
61,2016-12-12,Winter_Weekday,3,0.0,0.0057587011844984,0.1061163241436888,0.874117402081343,0.069407768551969,0.000768245705397,0.5556115272967324,0.0076015158570678,0.4212254784023155,0.7310024717728921,1.0,0.3888113860138316
61,2016-12-13,Winter_Weekday,3,0.0090450549381879,0.0154492283825122,0.0072644369107707,1.0,0.5286167610754406,0.0020147968620664,0.1747652886987903,0.0,0.5830607123302207,0.9416789473984496,0.9492589526332752,0.3003292280374241
61,2016-12-14,Winter_Weekday,0,0.0125864151325274,0.0,0.3289409321834428,0.4761039299705741,0.0148041619637002,0.006964614160635,0.0015451320494753,0.0112492629257364,0.0076676562783896,0.017945447178126,1.0,0.3227901092662172
61,2016-12-15,Winter_Weekday,3,0.0343361673212593,0.0331206237503665,0.0858955244822768,0.3689728956805412,0.0597470649435146,0.0071064557644408,0.0008853776077578,0.0,0.0020155481397784,1.0,0.4495684426627679,0.165564308843261
61,2016-12-16,Winter_Weekday,0,0.0471323274148134,0.0346447709998589,0.2005059642291365,1.0,0.1425009030114019,0.0204862508602754,0.0185717483575922,0.0,0.7415959550084922,0.3354148947389746,0.3357952288511547,0.3263284043405004
61,2016-12-19,Winter_Weekday,3,0.0064872967589871,0.0026301270012985,0.0,0.2276204055139756,0.1597668714218258,0.0025303356511532,0.0034920934092447,0.0090698587929395,0.4935840703327337,1.0,0.4519516004092154,0.2277281545275758
61,2016-12-20,Winter_Weekday,3,0.0023599678746456,0.0,0.004109449946777,0.2530768153227757,0.1878993116974951,0.0034669760446997,0.0049362677513385,0.0001224274944491,0.5206891163370443,1.0,0.5326347618339526,0.3005437482576323
61,2016-12-21,Winter_Weekday,3,0.0034364474144425,6.102652862407305e-05,0.0695755812975903,0.291983725853243,0.1120143713964318,0.0,0.0068263890073681,0.0035539568328343,0.2120361658519266,1.0,0.6819654930737289,0.1848838124797216
61,2016-12-22,Winter_Weekday,3,0.0047750828226978,0.0,0.0039670135349987,0.3589143131336673,0.2045146886387308,0.001395491317585,0.0708969574463099,0.0051691076795705,0.3477176351388463,1.0,0.6327110824497028,0.1144221081577533
61,2016-12-23,Winter_Weekday,0,0.0117165091307234,0.009997525377713,0.0129876416817724,1.0,0.620854388370295,0.0006608745707204,0.0037897672658786,0.0029600408045497,0.002221491699439,0.0019867583170564,0.0010583948812143,0.0
61,2016-12-26,Winter_Weekday,4,0.0,0.0090160687104801,0.3587736224755721,0.343818110668312,1.0,0.8818146386859186,0.6874703962014916,0.4907445267720511,0.5823681397405748,0.8536098024018296,0.4140729895985046,0.1698092713480499
61,2016-12-27,Winter_Weekday,4,0.008471068477645,0.0,0.1844387945371574,0.5810177413537357,0.6429677776976175,0.3351516912949839,0.2836188678791942,0.3852450865166842,0.6471231788056903,1.0,0.7750014098306246,0.3619522073313582
61,2016-12-28,Winter_Weekday,2,0.0,0.0010130065853251,0.0717450247955213,0.5545491014943311,0.3219322378301343,0.3880664686562369,0.2031829870983643,0.2540752125659548,1.0,0.4251260666314429,0.0332805682338843,0.0331353299358428
61,2016-12-29,Winter_Weekday,2,0.0311140197632282,0.0027962871422174,0.0037272612962161,0.0,0.0769346015038077,0.3319661929225559,0.2311579504173283,0.3853356626730512,1.0,0.4690784463325478,0.286844627439785,0.2611833657005022
