context,All-daytime plateau,Early-morning peak,Evening peak,Late-afternoon peak,Morning peak
Summer_Weekday,0.11984126984126985,0.20634920634920634,0.3134920634920635,0.18968253968253967,0.17063492063492064
Summer_Weekend,0.22532588454376165,0.1005586592178771,0.22905027932960895,0.16945996275605213,0.2756052141527002
Winter_Weekday,0.21236559139784947,0.15,0.3564516129032258,0.13333333333333333,0.1478494623655914
Winter_Weekend,0.3448275862068966,0.01532567049808429,0.25287356321839083,0.1673052362707535,0.21966794380587484
