archetype_name,n_days,spearman_rho,p_value
Morning peak,466,0.06724149614932778,0.1472575527857292
All-daytime plateau,441,-0.3144363046502992,1.4131796209132008e-11
Evening peak,568,-0.08541410779203223,0.041862082597708086
Late-afternoon peak,476,0.14787824992846968,0.0012136766070058357
Early-morning peak,463,0.10054467289036273,0.03053354255666972
