daily_archetype,archetype_name,n_days,n_homes,mean_daily_total_kwh,median_daily_total_kwh,mean_peak_hour,weekend_share,mean_daytime_fraction,day_share
0,Morning peak,1680,39,8.366643538383807,7.324981826698416,10.375,0.3952380952380952,0.6999590550245878,0.18160198897416496
1,All-daytime plateau,1833,39,11.745622911440611,10.282028382914357,14.274959083469723,0.4298963447899618,0.7445952114602976,0.19814074154145497
2,Evening peak,2863,39,7.99580290855447,6.9031674302559525,18.3520782396088,0.22808243101641634,0.6752141374614303,0.30948005621013946
3,Late-afternoon peak,1638,39,8.917948413907068,8.017823984734404,15.841269841269842,0.28876678876678874,0.7182173975307212,0.17706193924981084
4,Early-morning peak,1237,39,8.051673294976665,7.77440104700756,7.9288601455133385,0.11883589329021826,0.5127389224091672,0.1337152740244298
