daily_archetype,archetype_name,weekday_days,weekend_days,weekday_share_within_archetype,weekend_share_within_archetype,autumn_days,spring_days,summer_days,winter_days,n_days,autumn_share_within_archetype,spring_share_within_archetype,summer_share_within_archetype,winter_share_within_archetype
0,Morning peak,1016,664,0.6047619047619047,0.3952380952380952,315,555,363,447,1680,0.1875,0.33035714285714285,0.21607142857142858,0.26607142857142857
1,All-daytime plateau,1045,788,0.5701036552100381,0.4298963447899618,368,528,272,665,1833,0.20076377523186034,0.28805237315875615,0.14839061647572285,0.3627932351336607
2,Evening peak,2210,653,0.7719175689835837,0.22808243101641634,531,953,518,861,2863,0.1854697869367796,0.3328676213761788,0.18092909535452323,0.30073349633251834
3,Late-afternoon peak,1165,473,0.7112332112332113,0.28876678876678874,356,573,330,379,1638,0.21733821733821734,0.3498168498168498,0.20146520146520147,0.2313797313797314
4,Early-morning peak,1090,147,0.8811641067097817,0.11883589329021826,241,391,314,291,1237,0.1948261924009701,0.31608730800323365,0.253839935327405,0.23524656426839127
