scope,households,mean_modal_day_share,median_modal_day_share,min_modal_day_share,max_modal_day_share,mean_n_observed_archetypes,homes_with_all_5_archetypes,daily_archetype
overall,39,0.44351470565313506,0.41739130434782606,0.2591240875912409,0.6551724137931034,5.0,39.0,
Morning peak,8,0.4314843925774704,0.4161424606845513,0.32967032967032966,0.6277056277056277,5.0,,0.0
All-daytime plateau,11,0.39450769539141217,0.378698224852071,0.2591240875912409,0.6551724137931034,5.0,,1.0
Evening peak,15,0.46471590131849677,0.46488294314381273,0.31629392971246006,0.6245487364620939,5.0,,2.0
Late-afternoon peak,3,0.4928439595782395,0.5513513513513514,0.3448275862068966,0.5823529411764706,5.0,,3.0
Early-morning peak,2,0.5281716660174003,0.5281716660174003,0.4294117647058823,0.6269315673289183,5.0,,4.0
